Tea Type,Tea,Temp (F),Time,Info,Packaging,Brand,Buy Again,On Hand,Price
Black,Assam Harmony,212,4:00,Nice when eating sweet things,Loose,Adagio Teas,Yes,No,
Black,Assam Melody,212,5:15,,Loose,Adagio Teas,Yes,,
Black,Breakfast in Paris,198,4:35,,Bag,Stash Tea,Yes,Yes,
Black,English Breakfast,200,4:45,,Loose,Stash Tea,Yes,Yes,
Chai,Chocolate Chai,212,3:00,10.14.2016 finished; may buy again,Loose,Adagio Teas,Maybe,No,
Chai,Masala Chai,212,7:30,10.02.2016 finished; would buy again,Loose,Adagio Teas,Yes,Yes,
Chai,Thai Chai,212,5:00,Gave away to V,Loose,Adagio Teas,No,No,
Fruit,Meyer Lemon,207,3:15,,Bag,Stash Tea,Yes,,
Fruit,Wild Raspberry Hibiscus,212,3:15,Drink when on my period,Bag,Stash Tea,Yes,,
Green,Gunpowder Green,167,3:00,,Loose,,,Yes,
Green,Japanese Sencha,176,3:00,On kettle put a little less than midway in green section,Loose,DavidsTea,Maybe,Yes,
Green,Premium Green,175,2:45,Used for iced tea,Bag,Stash Tea,Yes,,
Herbal,Chamomile Nights,212,5:00,"For sleep
07.30.2017 finished",Bag,Stash Tea,Yes,No,
Herbal,Crepe Faire,200,5:00,My first loose tea,Loose,Stash Tea,Maybe,No,
Herbal,Snow Day,205,4:50,Has a strong smell,Loose,DavidsTea,No,,
Oolong,Citron Oolong,185,4:55,,Loose,DavidsTea,Yes,Yes,
Oolong,Grapefruit Oolong,212,5:00,"Sweet general oolong taste
Wouldn't get again
07.27.2017 finished",Loose,Adagio Teas,No,No,
Pu'erh,Coffee Pu'erh,210,4:15,Add milk and honey,Loose,DavidsTea,Yes,Yes,
Pu'erh,Hot Chocolate,205,5:45,Add two spoons of milk,Loose,DavidsTea,Yes,Yes,9.98
White,Fusion Green & White,180,2:35,12.08.2017 gifted last packet to J,Bag,Stash Tea,Yes,No,9.98
White,Virgo,180,4:50,Very smooth,Loose,Adagio Teas,,Yes,
